Team Name,Group Name,Player Name,Position
Mexico,A,Carlos Acevedo,GK
Mexico,A,Guillermo Ochoa,GK
Mexico,A,Raul Rangel,GK
Mexico,A,Edson Alvarez,DF
Mexico,A,Israel Reyes,DF
Mexico,A,Jesus Gallardo,DF
Mexico,A,Johan Vasquez,DF
Mexico,A,Jorge Sanchez,DF
Mexico,A,Mateo Chavez,DF
Mexico,A,Alvaro Fidalgo,MF
Mexico,A,Brian Gutierrez,MF
Mexico,A,Erik Lira,MF
Mexico,A,Gilberto Mora,MF
Mexico,A,Luis Romo,MF
Mexico,A,Obed Vargas,MF
Mexico,A,Orbelin Pineda,MF
Mexico,A,Alexis Vega,FW
Mexico,A,Armando Gonzalez,FW
Mexico,A,César Huerta,FW
Mexico,A,Guillermo Martinez,FW
Mexico,A,Julian Quinones,FW
Mexico,A,Raul Jimenez,FW
Mexico,A,Santiago Gimenez,FW
South Africa,A,Sipho Chaine,GK
South Africa,A,Ricardo Goss,GK
South Africa,A,Ronwen Williams,GK
South Africa,A,Aubrey Modiba,DF
South Africa,A,Khuliso Mudau,DF
South Africa,A,Nkosinathi Sibisi,DF
South Africa,A,Mbekezeli Mbokazi,DF
South Africa,A,Ime Okon,DF
South Africa,A,Samukele Kabini,DF
South Africa,A,Khulumani Ndamane,DF
South Africa,A,Thabang Matuludi,DF
South Africa,A,Kamogelo Sebelebele,DF
South Africa,A,Bradley Cross,DF
South Africa,A,Olwethy Makhanya,DF
South Africa,A,Teboho Mokoena,MF
South Africa,A,Sphephelo Sithole,MF
South Africa,A,Thalente Mbatha,MF
South Africa,A,Jayden Adams,MF
South Africa,A,Themba Zwane,FW
South Africa,A,Lyle Foster,FW
South Africa,A,Evidence Makgopa,FW
South Africa,A,Oswin Appollis,FW
South Africa,A,Iqraam Rayners,FW
South Africa,A,Relebohile Mofokeng,FW
South Africa,A,Thapelo Maseko,FW
South Africa,A,Tshepang Moremi,FW
South Korea,A,Hyeon-Woo Jo,GK
South Korea,A,Seung-Gyu Kim,GK
South Korea,A,Bum-Keun Song,GK
South Korea,A,Moon-Hwan Kim,DF
South Korea,A,Min-Jae Kim,DF
South Korea,A,Tae-Hyon Kim,DF
South Korea,A,Jin-Seob Park,DF
South Korea,A,Young-Woo Seol,DF
South Korea,A,Jens Castrop,DF
South Korea,A,Ki-Hyuk Lee,DF
South Korea,A,Tae-Seok Lee,DF
South Korea,A,Han-Beom Lee,DF
South Korea,A,Yu-Min Cho,DF
South Korea,A,Jin-Gyu Kim,MF
South Korea,A,Jun-Ho Bae,MF
South Korea,A,Seung-Ho Paik,MF
South Korea,A,Hyun-Jun Yang,MF
South Korea,A,Ji-Sung Eom,MF
South Korea,A,Kang-In Lee,MF
South Korea,A,Dong-Gyeong Lee,MF
South Korea,A,Jae-Sung Lee,MF
South Korea,A,In-Beom Hwang,MF
South Korea,A,Hee-Chan Hwang,MF
South Korea,A,Heung-Min Son,FW
South Korea,A,Hyeon-Gyu Oh,FW
South Korea,A,Gue-Sung Cho,FW
Czech Republic,A,Lukas Hornicek,GK
Czech Republic,A,Matej Kovar,GK
Czech Republic,A,Jindrich Stanek,GK
Czech Republic,A,Vladimir Coufal,DF
Czech Republic,A,David Doudera,DF
Czech Republic,A,Tomas Holes,DF
Czech Republic,A,Robin Hranac,DF
Czech Republic,A,Stepan Chaloupek,DF
Czech Republic,A,David Jurasek,DF
Czech Republic,A,Ladislav Krejci,DF
Czech Republic,A,Jaroslav Zeleny,DF
Czech Republic,A,David Zima,DF
Czech Republic,A,Lukas Cerv,MF
Czech Republic,A,Vladimir Darida,MF
Czech Republic,A,Lukas Provod,MF
Czech Republic,A,Michal Sadilek,MF
Czech Republic,A,Hugo Sochurek,MF
Czech Republic,A,Alexandr Sojka,MF
Czech Republic,A,Tomas Soucek,MF
Czech Republic,A,Pavel Sulc,MF
Czech Republic,A,Denis Visinsky,MF
Czech Republic,A,Adam Hlozek,FW
Czech Republic,A,Tomas Chory,FW
Czech Republic,A,Mojmir Chytil,FW
Czech Republic,A,Jan Kuchta,FW
Czech Republic,A,Patrik Schick,FW
Canada,B,Maxime Crepeau,GK
Canada,B,Owen Goodman,GK
Canada,B,Dayne St. Clair,GK
Canada,B,Moise Bombito,DF
Canada,B,Derek Cornelius,DF
Canada,B,Alphonso Davies,DF
Canada,B,Luc de Fougerolles,DF
Canada,B,Alistair Johnston,DF
Canada,B,Alfie Jones,DF
Canada,B,Richie Laryea,DF
Canada,B,Niko Sigur,DF
Canada,B,Joel Waterman,DF
Canada,B,Ali Ahmed,MF
Canada,B,Tajon Buchanan,MF
Canada,B,Mathieu Choiniere,MF
Canada,B,Stephen Eustaquio,MF
Canada,B,Marcelo Flores,MF
Canada,B,Ismael Kone,MF
Canada,B,Liam Millar,MF
Canada,B,Jonathan Osorio,MF
Canada,B,Nathan-Dylan Saliba,MF
Canada,B,Jacob Shaffelburg,MF
Canada,B,Jonathan David,FW
Canada,B,Promise David,FW
Canada,B,Cyle Larin,FW
