Team,Group,FIFA Ranking
Mexico,A,14
South Africa,A,60
South Korea,A,25
Czechia,A,39
Canada,B,30
Bosnia & Herzegovina,B,64
Qatar,B,57
Switzerland,B,19
Brazil,C,6
Morocco,C,7
Haiti,C,83
Scotland,C,42
USA,D,17
Paraguay,D,40
Australia,D,27
Türkiye,D,22
Germany,E,10
Curaçao,E,82
Ivory Coast,E,33
Ecuador,E,23
Netherlands,F,8
Japan,F,18
Sweden,F,38
Tunisia,F,46
Belgium,G,9
Egypt,G,29
IR Iran,G,20
New Zealand,G,85
Spain,H,2
Cape Verde Islands,H,67
Saudi Arabia,H,61
Uruguay,H,16
France,I,3
Senegal,I,15
Iraq,I,56
Norway,I,31
Argentina,J,1
Algeria,J,28
Austria,J,24
Jordan,J,63
Portugal,K,5
Congo DR,K,45
Uzbekistan,K,50
Colombia,K,13
England,L,4
Croatia,L,11
Ghana,L,73
Panama,L,34
